緯度,經度,補習班名稱,電話,核准科目名稱,補習班住址,立案文號,立案日期,備註
24.81083660 ,120.98157580 ,新竹市私立法老師文理短期補習班,(03)5355650,英文數學其他,新竹市民族路253號1樓及2樓之1,府教社字第0940022712 號,3/14/2005,
24.79488170 ,120.99952840 ,全國文教事業有限公司附設新竹市私立全國外語中心短期補習班,(03)5736588,日文美語,新竹市光復路2段254號4樓,府教社字第 0940018024號,3/7/2005,
24.80640150 ,120.97459520 ,何嘉仁文教事業股份有限公司新竹分公司附設新竹市私立風城語文短期補習班,(03)5322388,日文英語其他,新竹市民族路55號1-3樓,府教社字第 09400018820號,3/7/2005,
24.78431350 ,121.01374790 ,新竹市私立種子英語短期補習班,(03)6686205,英語,新竹市光復路一段485巷6弄7號1-2樓,府教社字第0930162895 號,12/29/2004,
24.81605070 ,120.96661770 ,新竹市私立文思快樂學園文理短期補習班,(03)5351280,美語,新竹市東大路二段172巷18號1樓,府教社字第0930091940 號,8/26/2004,
24.80052300 ,120.98392200 ,新竹市私立華盛頓文理短期補習班,(03)5721668，5721469,英語,新竹市綠水路59、61號1樓,府教社字第0930124555 號,11/29/2004,
24.80063780 ,120.99470310 ,新竹市私立米羅語文短期補習班,(03)5733066、5166399,美語,新竹市建中路48號1樓(擴充班舍至42號1樓)、建功一路202、206號1-3樓,府教社字第 0930124532號,12/1/2004,多間
24.78507020 ,121.01092500 ,新竹市私立延展文理短期補習班,(03)5631905,美語數學,新竹市光復路一段607巷30號1樓,府教社字第 0930117088號,11/8/2004,
24.80598930 ,120.95990850 ,新竹市私立皇室3號美語短期補習班,(03)5223449,美語,新竹市民富里七鄰少年街39號3樓及4樓,府教社字第 0930100966號,9/20/2004,
24.81188410 ,120.95482300 ,新竹市私立邦尼文理短期補習班,(03)5265706,數學美語,新竹市西大路755號,府教社字第0930087865 號,8/10/2004,
24.83859040 ,120.93851610 ,新竹市私立陽陞文理短期補習班,(0937)152252,美語數學,新竹市東大路三段467巷30號,府教社字第0930059605 號,5/17/2004,
24.80485070 ,120.97268650 ,希格瑪文教事業股份有限公司附設新竹市私立希格瑪文理短期補習班,03-5233119,理化英語數學,新竹市民族路34號8樓,府教社字第 0930065501號,6/3/2004,
24.78394360 ,121.01449030 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師7號短期補習班,(03)6667766,英文數學理化,新竹市光復路一段485巷11號1樓,府教社字第0930064125 號,5/31/2004,
24.81431820 ,120.97903090 ,新竹市私立郭義科學教育中心短期補習班,(03)5436621,數學英語理化,新竹市經國路1段379巷8號4樓至六樓,府教社字第 0930069609號,6/16/2004,
24.78511940 ,121.01090670 ,新竹市私立弗利思特美語短期補習班,(03)5780269,美語,新竹市光復路一段607巷28號,府教社字第0930052077號,4/23/2004,
24.80370280 ,120.95759840 ,新竹市私立奧斯卡美語短期補習班,(03)5221672,美語,新竹市民富街260號2樓,府教社字第0930045609號,4/7/2004,
24.80664450 ,120.97195140 ,新竹市私立弗克思美語短期補習班,(03)5339598,美語,新竹市仁愛街10號1樓至4樓,府教社字第0930015493號,2/25/2004,
24.79914930 ,120.98147880 ,新竹市私立英倫英語短期補習班,(03)5728575,英語,新竹市博愛街85號1樓至2樓、95號1樓至2樓,府教社字第0930005538號,1/16/2004,兩間
24.80873420 ,120.97427800 ,新竹市私立德恩美日語中央分校短期補習班,(03)5318251,日文,新竹市中央路198號6樓,府教社字第0920105084號,12/15/2003,
24.79897450 ,120.96436310 ,新竹市私立迅英美語短期補習班,(03)5225251,美語,新竹市林森路187號3樓之4,府教社字第0920102165號,12/4/2003,
24.80142700 ,120.96819530 ,新竹市私立偉文電腦短期補習班,(03)5218888,電腦電腦電腦,新竹市南門里林森路57號2樓,府教社字第0920101286號,12/1/2003,
24.79944790 ,120.94184080 ,新竹市私立優百科文理短期補習班,(03)5386210,英語,新竹市牛埔北路80巷17號,府教社字第 0920096315號,11/14/2003,
24.78341310 ,121.02266970 ,新竹市私立丹尼爾美語短期補習班,(03)5782575,美語,新竹市關東路66號,府教社字第0920069072號,8/19/2003,
24.78423740 ,121.01404850 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師2號文理短期補習班,03-6667766,理化數學英文,新竹市光復路1段485巷6弄12、16號一、二樓,府教社字第0920068953號,8/19/2003,
24.81382510 ,120.97972800 ,新竹市私立卓見電腦美語短期補習班,(03)5152910,電腦英語英語,新竹市經國路1段379巷21號,府教社字第0920068273號,8/18/2003,
24.78573260 ,121.01835780 ,新竹市私立竹科芝麻街美語文理短期補習班,(03)6667399,英語英語數學,新竹市關新路51號2樓,府教社字第0920062523號,7/29/2003,
24.78289260 ,121.01884860 ,新竹市私立劍橋短期補習班,(03)5338788 5795569,英語,新竹市光復路一段322號二樓,府教社字第0910007299號,2/19/2001,
24.80630300 ,120.97424900 ,新竹市私立建傳音樂短期補習班,(03)5311426,音樂,新竹市民族路43號3樓,府教社字第0920057919號,7/14/2003,
24.80849140 ,120.96099480 ,新竹市私立安妮英語文理短期補習班,(03)5254849,英語英語其他國語數學其他,新竹市西大路668號1樓及2樓,府教社字第0920055025號,7/4/2003,
24.80378000 ,120.97078950 ,新竹市私立北太電腦短期補習班,(03)5230188,電腦電腦電腦,新竹市中正路49號2-3樓,府教社字第0920053608號,7/1/2003,
24.78342140 ,121.01863760 ,新竹市私立登峰文理短期補習班,(03)5635300,其他數學,新竹市光復路一段354巷16弄2號1樓,府教社字第0920049543號,6/17/2003,
24.79661500 ,120.95132010 ,新竹市私立貝利電腦美語短期補習班,(03)5302330,電腦英語,新竹市頂埔路6號,府教社字第0920050356號,6/20/2003,
24.78425940 ,121.01389030 ,新竹市私立傑登文理短期補習班,(03)6667899,英語珠算數學其他,新竹市光復路一段485巷6弄27、29號1、2樓及11、15號1樓,府教社字第0920047477號,6/10/2003,多間
24.79797510 ,120.98485820 ,新竹市私立欣優陞英數理化短期補習班,(03)5737630,數學理化英語,新竹市博愛街26號1樓及22巷3號1樓,府教社字第0920043929號,5/29/2003,兩間
24.77684100 ,121.02368200 ,弋果文化事業股份有限公司附設新竹市私立旗艦美語短期補習班,(03)5637733,美語,新竹市金山六街5號,府教社字第0920029716號,1/1/2000,
24.78957280 ,120.92579470 ,新竹市私立瀚英文理短期補習班,(03)5386326,美語數學,新竹市香北路225巷90弄11號2-4樓(95.8.10府教社字第0950078485號准予變更),府教社字第0920031358 號,4/17/2003,
24.80314700 ,120.97149000 ,新竹市私立翔宇英文文理短期補習班,(03)5284263，6120136,英語,新竹市中正路22號5樓之1、5樓之2,府教社字第0920029638 號,4/10/2003,
24.80085120 ,120.99452560 ,新竹市私立典翰文理短期補習班,(03)5748988,數學美語,新竹市建中路31號1樓,府教社字第0920023028 號,3/21/2003,
24.79185240 ,120.96847620 ,新竹市私立亮榮昌文理短期補習班,(03)5623249,美語電腦,新竹市明湖路180號2樓之2,府教社字第 0920002323號,1/9/2003,
24.80721890 ,120.96016890 ,新竹市私立育碩文理短期補習班,(03)5262307,美語數學,新竹市民富街155、157、159號1樓,府教社字第0910044490 號,6/13/2002,多間
24.79974400 ,120.96175250 ,新竹市私立英維文理短期補習班,(03)5282621,英語,新竹市四維路90號1-4樓,府社字第 0910062058號,8/19/2001,
24.81762600 ,120.97288000 ,新竹市私立愛丁堡美語短期補習班,(03)5350603(03)5344151,英文,新竹市光華北街49號,府社字第 0910060370號,8/12/2002,
24.82224750 ,120.97031280 ,新竹市私立瑪格瑞特美語短期補習班,(03)5349601,美語,新竹市武陵路266號、266號2樓之1、2樓之2、2樓之3,府社字第0910061631 號,5/19/2001,
24.78029410 ,120.96718760 ,新竹市私立新竹汽車客運股份有限公司 汽車駕駛修護短期職業補習班短期補習班,(03)5201127,,新竹市明湖路484號,府教社字第100034號,12/23/1971,
24.79763450 ,120.97441330 ,部落森數位文創有限公司附設新竹市私立部落森文理短期補習班,(03)5612009,數學英語理化,新竹市東南街139號2-3樓,府教社字第0870087827號,11/20/1998,
24.80485070 ,120.97268650 ,新竹市私立力行補習班(民族分部)短期補習班,(03)5216181,,新竹市民族路34號8樓,府教社字第0870018509號,8/12/1989,
24.79484220 ,120.97638930 ,新竹市私立麥克國英語會話短期補習班,(03)5711399,國語英語,新竹市東南街261號1-3樓(95.09.11府教社字第0950090129號函准予變更),府教社字第58858號,8/4/1998,
24.80682500 ,120.96176100 ,新竹市私立元元美術短期補習班,(03)5248588,美術,新竹市西大路543號2-3樓,府教社字第0820017406號,4/27/1993,
24.81653400 ,120.95864850 ,新竹市私立中正音樂短期補習班,(03)5221686,,新竹市中正路482巷4號,新竹市政府75.4.10府教社字第0946號,4/10/1986,
24.80732830 ,120.96529540 ,新竹市私立筑風音樂短期補習班,(03)5233599,,新竹市長安街94號1樓,府教社字48353號,10/13/1993,
24.80734200 ,120.97173400 ,新竹市私立佳佳舞蹈短期補習班,(03)5323127,舞蹈,新竹市中央路146號2樓,教五字52866號,7/15/1980,
24.80869250 ,120.96525550 ,新竹市私立飛鳳舞蹈短期補習班,(03)5286161,舞蹈,新竹市北門街172號2樓,府教社字第29543號,8/16/1983,
24.79840710 ,120.96820240 ,新竹市私立溫賢鈺社交舞蹈短期補習班,(03)5223366,其他,新竹市西大路213號2樓之1,府教社字第33319號,7/21/1993,
24.81005870 ,120.96783750 ,新竹市私立新虹燕舞蹈短期補習班,(03)5328939,舞蹈,新竹市北大路158號2樓,臺灣省政府教育廳82年8月27日教五字第75103號、新竹市政府82年8月31日府教社字第40731號,8/31/1993,
24.80984410 ,120.98009260 ,新竹市私立雲門三民才藝短期補習班,(03)5153515,美術音樂其他,新竹市民族路205號2樓,府教社字第83510號,11/8/2001,
24.79629800 ,120.96803800 ,新竹市私立中美英語會話短期補習班,(03)5268368,英語,新竹市南大路403號1-2樓,台灣省政府教育廳教五字第26948號,3/22/1982,
24.78417410 ,121.02268400 ,新竹市私立群英文理短期補習班,(03)5795835,英語數學,新竹市關東路110號1-4樓,府教社字第27412號,4/22/1997,
24.81233800 ,120.95867500 ,新竹市私立榮老師英語會話短期補習班,(03)5315225,,新竹市竹光路145號1樓,府教社字第38391號,5/28/1999,
24.80139550 ,120.95591840 ,新竹市私立中和英語短期補習班,(03)5255125,英語,新竹市中和路95巷7號1樓,八六府教社字第70921號,9/23/1997,
24.81108960 ,120.96746400 ,私立救國團新竹團委會附設語文技藝短期補習班,(03)5153383,日文英語電腦烹飪音樂美術書法美容其他其他瑜珈舞蹈插花,新竹市演藝路23號2樓,府教社字第0860097419號,12/31/1987,
24.83779570 ,120.94207360 ,新竹市私立巧園美語珠心算短期補習班,(03)5362862,美語國語數學其他其他,東大路三段518號1樓至2樓,,1/1/2000,
24.81088200 ,120.97844600 ,新竹市私立學園英語短期補習班,(03)5324100,美語數學珠心算,新竹市中央路307號1-2樓,八七府教社字第34743號,5/11/1998,
24.79959810 ,120.96009400 ,新竹市私立佳美英語短期補習班,(03)5238841,美語,新竹市西門街252號1-2(95.8.3府教社字第0950076742號函核准變更設立人) ,府教社字第0930097747號,9/9/2004,
24.80829640 ,120.97784660 ,新竹市私立台大文理短期補習班,(03)5429101,其他數學,新竹市民族路127號2、3樓(96.5.23府教社字第0960050175號函准予擴充班舍至3樓),八七府教社字第95481號,12/17/1998,
24.79583740 ,120.98021420 ,新竹市私立新華興英語短期補習班,(03)5726333,英語,新竹市東山街16巷13號2樓,府教社字第 0880002084號,1/11/1999,
24.79669760 ,120.97522500 ,新竹市私立上群美語短期補習班,(03)5620992,英語,新竹市食品路218號3樓,(88)府教社字第06789號,2/1/1999,
24.77771100 ,121.02073700 ,新竹市私立聯新語文短期補習班,(03)5991458,美語,新竹市金山12街32號1、2樓,府教社字第0880062918號,9/27/1999,
24.81537570 ,120.96577500 ,新竹市私立諾貝兒短期補習班,(03)5328438,美語,新竹市東大路2段165號3樓,府教社字第0890081389號,11/10/2000,
24.80314700 ,120.97149000 ,新竹市私立德川語文短期補習班,(03)5257360,日文日文日文,新竹市中正路22號10樓之1,府教社字第0900021448號,3/23/2001,
24.81017010 ,120.96812700 ,新竹市私立大亞電腦短期補習班,(03)5351919,電腦,新竹市北大路150號2樓,府教社字第0890081112號,11/9/2000,
24.80081030 ,120.96072770 ,新竹市私立東方美容美姿短期補習班,(03)5265282、5252093,,新竹市四維路79號,臺灣省政府教育廳76.08.28教五字第71680號。新竹市政府76.09.07府教社字第47447號,9/7/1987,
24.80062710 ,120.96938330 ,新竹市私立東亞美容髮型短期補習班,(03)5213997,其他美容,新竹市中華路2段508號4樓之1之2之3。,府教社字第43347號,6/16/1997,
24.80770570 ,120.96303880 ,新竹市私立卓越文理短期補習班,(03)5245172,,新竹市仁德街75號,,1/1/2000,
24.80438100 ,120.97323200 ,新竹市私立偉文文理短期補習班,(03)5258000,英文數學,新竹市東門街46號2樓,竹府教字第0800024236號,6/24/1991,
24.84531140 ,120.92821340 ,新竹市私立漢聲文理短期補習班,(03)5362345,數學英文理化,新竹市東大路四段273號2樓至4樓,府教社字第79147號,11/7/1995,
24.80480200 ,120.95083800 ,新竹市私立學立文理短期補習班,(03)5361985,英文數學,新竹市延平路3段204巷1號1-3樓,府教社字第18255號,3/14/1996,
24.78244700 ,121.02345300 ,新竹市私立新世紀文理短期補習班,(03)5779115,理化數學英文,新竹市光復路1段108巷38號1樓,86府教社字第80014號,10/27/1997,
24.81058040 ,120.97685270 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師6號文理短期補習班,(03)5356333,英語理化數學,新竹市民生路150號1樓,府教社字第0930081124,7/21/2004,
24.83920170 ,120.93445750 ,新竹市私立新豐數學文教學苑短期補習班,(03)5361845,數學英語其他,新竹市延平路3段542-1號1樓至2樓,八七府教社字第34787號,5/11/1998,
24.78852900 ,120.92804700 ,新竹市私立東方文理短期補習班,(03)5384629,英語數學,新竹市中華路5段20號1樓,府教社字第0870072031號,9/21/1998,
24.74453540 ,120.90683680 ,新竹市私立美樂蒂文理短期補習班,(03)5349401,英語數學電腦,新竹市中華路六段216號1樓、地下一樓,府教社字第0890042922號,6/21/2000,
24.81364840 ,120.97984550 ,新竹市私立喬太文理短期補習班,(03)5356969,數學理化英語,新竹市經國路一段379巷41號3樓,府教社字第0890084543號,11/22/2000,
24.78930100 ,120.92652900 ,新竹市私立千韻文理短期補習班,(03)5387526,數學國語,新竹市大庄路56-7號1-4樓,府教社字第0900005737號,1/31/2001,
24.80444400 ,120.97317600 ,新竹市私立聯合文理短期補習班,(03)5269516,其他其他,新竹市東門街34巷3號1之4樓,府教社字第16487號,4/22/1989,
24.80467940 ,120.97258140 ,新竹市私立文林文理短期補習班,(03)5221023,,新竹市民族路32之2號,,1/1/2000,
24.80392200 ,120.97196000 ,陳立教育事業股份有限公司附設新竹市私立中正文理短期補習班,(03)5219500,國文英文數學其他數學其他國文英文其他其他,民族路31號6樓、7樓、8樓,87府教社字第15822號,3/5/1998,
24.80563700 ,120.97683400 ,新竹市私立建如文理短期補習班,-3,其他,新竹市中華路2段218號2樓,府教社字第0900011169號,2/16/2001,
24.79853850 ,120.96419490 ,新竹市私立向日葵語文短期補習班,(03)5265871,其他數學英文,新竹市福德街45號1樓-3樓,府教社字第0890027705號,4/24/2000,
24.80568590 ,120.95225340 ,艾學爾文理短期補習班竹光分班,(03)5262889,英語其他數學,新竹市延平路一段214巷67號1樓,府教社字第0930079935號,7/16/2004,
24.80126720 ,120.96311360 ,新竹市私立小小天地美語短期補習班,(03)5278757,美語,新竹市西門街148號,,5/3/2002,
24.80989640 ,120.96623520 ,新竹市私立階梯你和我英語短期補習班,(03)5230393,英文,新竹市中正路180號3樓之1,文0910005636號,1/1/2000,
24.83849870 ,120.93833270 ,新竹市私立喬仁英語會話、珠算短期補習班,(03)5363719,珠算英語,新竹市東大路3段467巷52號2樓,府教社字第08687號,3/6/1990,
24.80434700 ,120.97350700 ,網路地球村語文資訊有限公司新竹站前分公司附設新竹市私立地球村美日語短期補習班,(03)5235070,日文美語,新竹市東門街36號2樓及5樓至8樓,83.06.01教社24644號,6/1/1994,
24.79919990 ,120.98156200 ,新竹市私立暘光美語短期補習班,(03)5751878,英文,新竹市博愛街83號2樓,府教社字第89782號,12/4/2001,
24.80730000 ,120.97167400 ,新竹市私立泰葛美語短期補習班,(03)5313648,美語,新竹市中央路144號5樓,第78618號,1/1/2000,
24.79967710 ,120.96649490 ,新竹市私立英王美語短期補習班,(03)5222053 5238000,其他美語數學國語,新竹市南城街43號1樓,八二府教社字第90410號,11/17/1993,
24.77838800 ,121.02040700 ,新竹市弋果美語短期補習班,(03)5633913,英文,新竹市金山七 街27號2樓,府教社字第0890027704號,4/24/2000,
24.80317930 ,120.98107350 ,新竹市私立皇室專才教育短期補習班,(03)5315424,英文,新竹市光復路二段928號1、2、3樓,府教社字第0890038340號,6/2/2000,
24.78335700 ,121.01714900 ,地球村出版有限公司新竹園區分公司附設新竹市私立國際地球村文理短期補習班,(03)5640766,英語其他,新竹市光復路一段371號2樓之1至之5,府教社字第78617號,10/16/2001,
24.81162730 ,120.97527100 ,新竹市私立喬英美語短期補習班,(03)323201,英文,新竹市東區復中里13鄰民生路239巷2弄20號1~3樓,第63703號,1/1/2000,
24.78745820 ,121.00313170 ,新竹市私立史丹佛美語短期補習班,(03)5922000,美語,新竹市光明里14鄰大學路81巷3弄51號,,1/7/1998,
24.79937700 ,120.95045700 ,新竹市私立師大美語短期補習班,(03)5388499,美語,新竹市牛埔東路275巷30號2、3樓,府教社字第0890094306號,12/28/2000,
24.81927850 ,120.96091410 ,新竹市私立清甘英語學園短期補習班,(03)5355250,英語,新竹市鐵道路三段21號1樓,府教社字第0890026738號,4/20/2000,
24.80356960 ,120.97382200 ,新竹市私立康乃爾外語中心短期補習班,(03)5233066,其他其他日文美語其他其他,新竹市中華路二段314，316號1~3樓,府教社字第0900024080號,4/3/2001,
24.81639970 ,120.97296510 ,新竹市私立伊頓美語短期補習班(95.08.16府教社字第0950081915號函准予減少共同設立人),(03)5340076,美語,新竹市光華南街67號2樓,府教社字第0910014354號,3/1/2002,
24.79809000 ,120.94450390 ,新竹市私立晨星學院文理短期補習班,(03)5400598,美語,新竹市牛埔路333號1~3樓,府教社字第0910015293號,3/19/2002,
24.80475710 ,120.96163720 ,新竹市私立南瓜田外語文理短期補習班,(03)5281881,數學生物數學理化理化美語數學其他英語,新竹市集賢街7號.9號1至4樓,府教社字第0900064758號,9/3/2001,
24.80207810 ,120.96093900 ,新竹市私立竹嘉文理技藝短期補習班,(03)5252825,電腦英語數學作文,新竹市中山路306號1-4樓,府教社字第0890040078號,6/12/2000,
24.78274100 ,121.02037500 ,新竹市私立立人英日語會話短期補習班,(03)5321987,,新竹市光復路一段268巷3號1樓,府教社字第88805號,10/9/1990,
24.80008320 ,120.98247620 ,新竹市私立精英兒童美語短期補習班,(03)5750585,美語,新竹市園後街94、98號1樓,府教社字第0910041977號,6/5/2001,兩間
24.80656670 ,120.96320630 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師菁英文理短期補習班,（03〉5283848,數學英語理化,新竹市北大路293號1~3樓,府教社字第61926號,8/31/2001,
24.78417910 ,121.02066100 ,新竹市私立新儒林文理短期補習班,(03)5797856,英文數學理化,新竹市關東里光復路一段268巷63號4樓,府教社字第090064674號,8/31/2001,
24.80734350 ,120.97354290 ,新竹市私立階梯文理電腦短期補習班,(03)5332828,英語電腦數學,新竹市三民路22-1號1樓,府教社字第0890013716號,2/29/2000,
24.80438100 ,120.97323200 ,新竹市私立成功文理短期補習班,(03)5248543,英文物理,新竹市東門街46號4樓(93.05.05府教社字第0930055571號函准予變更班址),府教社字第39419號(臺灣省政府教育廳82年8月20日教五字第73600號),8/24/1993,
24.80623240 ,120.95137960 ,新竹市私立國壽文理短期補習班,(03)5230130,,新竹市延平路一段214巷108號1樓,府教社字第39095號(教育廳85.5.31教五字第66068號),6/10/1996,
24.79669760 ,120.97522500 ,新竹市私立孜學壹文理短期補習班,(03)5621885,其他,新竹市食品路218號1~2樓,(91)府教社5894號,1/1/2000,
24.81225300 ,120.97845980 ,新竹市私立小狀元文理短期補習班,(03)5352806,英文數學,新竹市復興里民主路139-2號1樓,第0910009888號,1/1/2000,
24.80497850 ,120.94732220 ,新竹市私立學立6號文理短期補習班,(03)5218015,英文數學,新竹市延平路一段433號一樓,府教社字第0900012105號,2/20/2001,
24.80577600 ,120.96094900 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師文理短期補習班,(03)5228449,理化英文數學,新竹市少年街3號1樓,府教社字第0890081372號,11/10/2000,
24.80340910 ,120.97165200 ,新竹市私立華興文理短期補習班,(03)5280880,數學其他,新竹市民族路17號3樓至7樓,84.08.16教社58037,8/16/1995,
24.78446630 ,121.01410070 ,臺師菁英文教事業股份有限公司附設新竹市私立臺師5號文理短期補習班,(03)6667766,英文數學理化,新竹市光復路一段509號1、2樓,府教社字第0910007294,2/5/2002,
24.79664600 ,120.96961700 ,新竹市私立育民英數理短期補習班,(03)5217623,,新竹市新興里2鄰西大路137號1樓,八一府教社字第46530號,1/1/2000,
24.81642510 ,120.95818160 ,新竹市私立偉登文理短期補習班,(03)5325717,英語日文數學,新竹市中正路498號2樓,府教社字第0890051622號,7/21/2000,
24.78930100 ,120.92652900 ,新竹市私立新華文理短期補習班,(03)5308758,英文數學,新竹市大庄路56-5號1-4樓,府教社字第0900011172號,2/16/2001,
24.80362480 ,120.97211550 ,智基科技開發股份有限公司附設新竹市私立志光文理法政商業短期補習班,(03)5255117,其他其他其他,新竹市民族路22號3樓,府教社字第0900049822號,7/9/2001,
24.80602360 ,120.96394970 ,新竹市私立建嘉文理短期補習班,(03)5284151,數學英語理化,新竹市世界街207號,府教社字第55529號,7/28/1997,
24.81045540 ,120.97999390 ,新竹市私立勤學文理短期補習班,(03)5336260,英文數學理化,新竹市民主路78號1-2樓,府教社字第0910038568號,5/24/2000,
24.79921130 ,120.94441480 ,新竹市私立文昌文理短期補習班,(03)5381565,其他,新竹市中埔里3鄰祥園街61號,府教社字第26988號函,6/15/1990,
24.79658890 ,120.94529630 ,新竹市私立鴻揚文理短期補習班,(03)5301758-9,數學英文其他作文,新竹市牛埔東路199號1-4樓及牛埔東路198號1-2樓,府教社字第14089號(台灣省政府教育廳81.4.9教五字第038037號),4/14/1992,兩間
24.78236900 ,121.02360100 ,新竹市私立上林文理短期補習班,(03)5782889,,新竹市光復路1 段108巷80之1號,,1/1/2000,
24.79487800 ,121.00873530 ,新竹市私立儒林文理短期補習班,(03)5782079,數學作文其他,新竹市埔頂路113號1、2、3樓,府教社字第04381號,2/4/1996,
24.79573960 ,120.97572400 ,新竹市私立哈佛英數文理短期補習班,(03)5738969,其他英文數學英文國語數學,新竹市東南街225號1樓至2樓,府教社字第42189號,6/15/1995,
24.80438900 ,120.97251100 ,新竹市私立大衛美語會話短期補習班,(03)5238855,英文,新竹市東門街64號1-4樓,府教社字第0850056469號,8/9/1996,
24.80760710 ,120.96391500 ,新竹市私立聯美英日語短期補習班,(03)5257250,,新竹市北大路266號,府教社字第0790020444號,5/14/1990,
24.80434700 ,120.97350700 ,新竹市私立三元文理短期補習班,(03)5247871,理化文理,新竹市東門街36號4樓,府教社字第0870059934號,8/7/1998,
24.80392200 ,120.97196000 ,台灣知識庫股份有限公司新竹分公司附設新竹市私立大碩文理短期補習班,(03)5265779,數學其他,新竹市民族路31號9樓,府教社字第0880062686號,9/20/1999,
24.78770740 ,121.01748210 ,新竹市私立愛尼華短期補習班,(03)5300199,珠算舞蹈電腦美語數學,新竹市東華路66號1、2樓,府教社字第0890051623號,7/21/2000,
24.79014810 ,120.92509910 ,新竹市私立傑尼爾短期補習班,(03)5304499,英語珠算數學,新竹市香北路250號,府教社字第0860074998號,10/7/1997,
